"Sex of employee","Type of employment contract","Other characteristics employee","Industry class / branch (SIC2008)","Periods","Employment Jobs","Labour volume","Wage per job Hourly wage (euro)","Wage per job Monthly wages Monthly wage including overtime (euro)","Monthly wages Monthly wage excluding overtime (euro)","Yearly wage Yearly wage including bonuses (euro)","Yearly wage Yearly wage excluding special payments (euro)","Yearly wage Bonuses and allowances (euro)","Yearly wage Additional tax liability for company car (euro)","Working hours Per job per week including overtime (hour)","Per job per week excluding overtime (hour)","Per job per year (hour)","Per working year (hour)"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2009","504","143","5.92","247","241","3,210","2,960","250","0","10.9","10.7","488","1,720"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2010 after change of method","491","134","6.06","239","234","3,120","2,870","250","0","10.4","10.1","463","1,690"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2011","500","135","6.11","241","235","3,090","2,890","200","0","10.2","10.0","461","1,714"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2012","492","131","6.20","241","235","3,090","2,890","200","0","10.2","10.0","455","1,704"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2013","473","126","6.20","239","234","3,060","2,870","190","0","10.2","10.0","453","1,704"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2014","472","124","6.20","239","233","3,050","2,860","190","0","10.1","9.9","452","1,716"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2015","492","130","6.23","242","236","3,090","2,900","190","0","10.2","10.0","455","1,727"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2016","520","144","6.03","245","241","3,170","2,940","230","0","10.6","10.5","481","1,735"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2017","557","158","6.22","256","253","3,280","3,080","210","0","10.8","10.7","488","1,716"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2018","593","171","6.54","272","268","3,500","3,270","230","0","10.9","10.8","492","1,707"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2019","616","178","6.86","288","284","3,690","3,460","240","0","11.0","10.9","497","1,718"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2020","582","174","7.21","313","310","4,040","3,760","280","0","11.4","11.3","517","1,729"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2021","596","178","7.43","322","319","4,130","3,860","270","0","11.3","11.2","515","1,722"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2022","644","193","8.09","351","348","4,510","4,210","300","0","11.3","11.3","516","1,726"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2023","649","192","9.11","390","387","5,000","4,680","330","0","11.2","11.2","510","1,720"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2024","649","189","9.96","419","417","5,350","5,030","320","0","11.1","11.0","502","1,722"
"Total","Type of employment contract: part-time","15 to 19 years","A-U All economic activities","2025*","654","190","10.62","444","442","5,670","5,330","340","0","11.0","11.0","499","1,714"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2009","3,731","1,928","17.50","1,281","1,264","17,530","15,370","2,170","100","19.2","19.0","866","1,677"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2010 after change of method","3,782","1,935","18.00","1,290","1,276","17,680","15,480","2,200","120","19.0","18.8","851","1,663"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2011","3,931","2,025","18.17","1,327","1,307","18,250","15,920","2,330","110","19.1","18.9","864","1,677"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2012","3,961","2,051","18.65","1,359","1,340","18,610","16,310","2,310","110","19.3","19.0","862","1,665"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2013","3,920","2,041","18.99","1,383","1,371","18,940","16,600","2,350","100","19.4","19.2","867","1,665"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2014","3,928","2,054","18.98","1,400","1,384","19,080","16,800","2,280","100","19.5","19.3","875","1,673"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2015","3,991","2,099","19.30","1,431","1,416","19,470","17,170","2,300","100","19.7","19.5","880","1,674"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2016","4,030","2,137","19.32","1,451","1,438","19,850","17,420","2,440","100","19.8","19.7","893","1,684"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2017","4,193","2,251","19.58","1,496","1,486","20,510","17,950","2,560","100","20.1","20.0","911","1,697"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2018","4,288","2,322","20.03","1,536","1,526","20,990","18,430","2,560","110","20.3","20.2","914","1,688"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2019","4,382","2,396","20.51","1,596","1,587","21,790","19,150","2,640","120","20.5","20.4","928","1,698"
